,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,01,263,060917_03_30173.jpg,http://memoria.bn.br/docreader/060917_03/30173
1,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,01,264,060917_03_30174.jpg,http://memoria.bn.br/docreader/060917_03/30174
2,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,02,75,060917_03_30672.jpg,http://memoria.bn.br/docreader/060917_03/30672
3,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,02,76,060917_03_30673.jpg,http://memoria.bn.br/docreader/060917_03/30673
