,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""clemence royer""",2022-10-07,Gazeta do Norte : Orgão Liberal (CE) - 1880 a 1890,1881,150,3,103950_1219.jpg,http://memoria.bn.br/docreader/103950/1219
1,"""clemence royer""",2022-10-07,Gazeta do Norte : Orgão Liberal (CE) - 1880 a 1890,1881,150,3,103950_1607.jpg,http://memoria.bn.br/docreader/103950/1607
2,"""clemence royer""",2022-10-07,Gazeta do Norte : Orgão Liberal (CE) - 1880 a 1890,1881,179,1,103950_1718.jpg,http://memoria.bn.br/docreader/103950/1718
