,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""clemence royer""",2022-10-07,Pharol (MG) - 1876 a 1933,1888,204,1,258822_5818.jpg,http://memoria.bn.br/docreader/258822/5818
1,"""clemence royer""",2022-10-07,Pharol (MG) - 1876 a 1933,1905,290,2,258822_20537.jpg,http://memoria.bn.br/docreader/258822/20537
