,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1951,296,8,090972_10_8195.jpg,http://memoria.bn.br/docreader/090972_10/8195
1,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1952,554,9,090972_10_12296.jpg,http://memoria.bn.br/docreader/090972_10/12296
2,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1953,880,9,090972_10_17508.jpg,http://memoria.bn.br/docreader/090972_10/17508
3,"""clemence royer""",2022-10-07,Correio Paulistano (SP) - 1950 a 1959,1954,997,4,090972_10_19379.jpg,http://memoria.bn.br/docreader/090972_10/19379
