,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1911,017,1,800643_12772.jpg,http://memoria.bn.br/docreader/800643/12772
1,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1911,023,1,800643_12800.jpg,http://memoria.bn.br/docreader/800643/12800
2,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1931,291,1,800643_49855.jpg,http://memoria.bn.br/docreader/800643/49855
