Acervo,Total de Páginas,Total de Ocorrências,Frequência de ocorrências X páginas
Jornal de Recife (PE) - 1858 a 1938,124859,8,15607.375
Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,92165,3,30721.666666666668
A Provincia (PE) - 1920 a 1933,28341,2,14170.5
Diario de Pernambuco (PE) - 1920 a 1929,27958,1,27958.0
Diario de Pernambuco (PE) - 1930 a 1939,35716,1,35716.0
Diário da Manhã (PE) - 1930 a 1939,37839,1,37839.0
A Provincia : Orgão do Partido Liberal (PE) - 1872 a 1919,43273,1,43273.0
